,apr. tot.,bed rooms,baths,sqft,LandAcres,dst_hj_airport,dst_beltline,dst_gt,NN w landmarks,Linear w/ landmarks,NN w/o landmarks,Linear w/o landmarks,OBJECTID,TaxYear,AddrNumber,TotAssess,LandAssess,ImprAssess,TotAppr,LandAppr,ImprAppr,ExCode,LivUnits,LandAcres_r,Shape__Are,Shape__Len,y,x,dst_hj_airport_r,dst_gt_r,dst_morehouse_clark,dst_oglethorpe,dst_piedmont,dst_chastain,dst_cherokee,dst_ansley,dst_capital_city,no.,last sale amount,year built,total rooms,bed rooms_r,bath,half bath,sqft_r,basement,ht_ac,ext. wall,apr. land,apr. bldg,apr. tot._r,ass. tot.,building style,stories,dst_beltline_r
apr. tot.,1.0,0.41220458912401553,0.6372776674465043,0.7258442140582774,0.33797238416156905,0.30030580521345135,-0.0044083190179538745,0.018760752145097155,0.9162861141727766,0.8451962722207126,0.7710192175386104,0.7551995690920471,-0.050245358914624276,,-0.010610612405914351,0.9974414250165812,0.7953671104664473,0.9773702753579923,0.9974414250361463,0.7953671130174261,0.9773702744061262,,-0.0025009113367372364,0.33797238416156905,-0.06010797539665414,0.0034412326726555482,0.3463668727804917,0.3043194422511299,0.30030580521345135,0.018760752145097155,0.1258540275740077,-0.36515030340277693,-0.04913197194754357,-0.32211739557055774,-0.38803061126578525,-0.10450732228318163,-0.33833663091508126,-0.010611617214313092,0.13564396391307063,0.14042669853992204,0.49069197369034223,0.41220458912401553,0.6240710010125647,0.31880161289059394,0.725844214058225,0.3352526174550518,0.18309608641995792,0.1380617890617939,0.7972585528642147,0.9805804700655218,0.9999999999999926,0.985700114747598,-0.09885452525140241,0.28366582239641974,-0.0044083190179538745
bed rooms,0.41220458912401553,1.0,0.7210388062629837,0.7092704284686351,0.43471763164684163,0.3036827874742771,0.43117642981823784,0.4241740833758948,0.44473623359146025,0.47919687024992047,0.5203124748546917,0.5489527727862472,-0.4396006594584647,,0.16146214458219985,0.41138897593519613,0.34741725407214213,0.39683551309550424,0.4113889730053419,0.3474172554339003,0.39683550895073993,,-0.004315337852818699,0.43471763164684163,-0.1273670963788624,-0.020186095024250734,0.2040222348281283,0.06820276034331559,0.3036827874742771,0.4241740833758948,0.40399807941965676,0.23655340717589748,0.4279740002218618,0.28018259947466223,-0.04407877235087492,0.4155738163274717,0.27581806123288066,0.16146286005852387,0.04542775204177516,0.23010160892620438,0.7909656600807191,1.0,0.7046486781929652,0.365792807922827,0.709270428468643,0.4099312278403203,0.12054732734302609,-0.07902166585697339,0.34761042023106015,0.3980343633108179,0.412204589124028,0.41785585535145575,-0.43816929160275736,0.45557015649546184,0.43117642981823784
baths,0.6372776674465043,0.7210388062629837,1.0,0.8082742850701699,0.3647192124187371,0.42694953349908726,0.3864758583578787,0.39000146374079714,0.6993326300204816,0.7643281228813104,0.8187825509255562,0.8421006289601769,-0.22277240878689966,,0.15119909491462555,0.6359680189085075,0.46558540985723695,0.6366264362129141,0.6359680180577005,0.4655854144828385,0.6366264335959967,,-0.005854545281544454,0.3647192124187371,-0.04439875514831663,0.02406175663591505,0.35326162403359523,0.20273651024236747,0.42694953349908726,0.39000146374079714,0.4303547406889874,0.026939757834229153,0.35925110124313775,0.09036092855540859,-0.24208662522067614,0.32055984816266453,0.07638954406949511,0.15119962899913938,0.08766781919905517,0.43893912795616424,0.709576432497533,0.7210388062629837,0.9705184086493962,0.5310447479805,0.8082742850701811,0.3911349866352772,0.27804216079199007,0.015840463186973432,0.46591740938102755,0.6385987227714556,0.6372776674464806,0.6448254588335433,-0.15130712884896155,0.5541830525212406,0.3864758583578787
sqft,0.7258442140582774,0.7092704284686351,0.8082742850701699,1.0,0.48113122337292646,0.4068068059582058,0.3615874564305395,0.3648539577147053,0.782187626365194,0.8469851384826989,0.9359819497197226,0.9625044175031646,-0.2634646895352261,,0.14055294479611696,0.7246794078039817,0.5534788185180749,0.71799606439517,0.7246794061088624,0.5534788248251281,0.7179960601623242,,-0.01121334426662368,0.48113122337292646,-0.07475523437117598,0.027385953852833038,0.3437514738240696,0.20017953713425107,0.4068068059582058,0.3648539577147053,0.4022727702735222,0.01784612765492802,0.3354253087522601,0.07736738126864771,-0.23232240595763157,0.2983615872623732,0.06455260753847353,0.14055092383317552,0.08879142001627512,0.312515402819363,0.7195089148752918,0.7092704284686351,0.7796856147093439,0.445961952510197,0.9999999999999736,0.37915202087422256,0.1995701274008992,0.0331868143385426,0.5539477746852504,0.7197857528122792,0.7258442140582554,0.7314527307502726,-0.28190320073025527,0.5097516418951514,0.3615874564305395
LandAcres,0.33797238416156905,0.43471763164684163,0.3647192124187371,0.48113122337292646,1.0,0.22559075784709684,0.30469073354415505,0.2912206980101702,0.37501662383081097,0.4053497843747127,0.4398339797876965,0.45814834475637956,-0.3318838670908303,,0.11687873411294847,0.33737861855028073,0.38279858055380456,0.2937369388891054,0.33737861551885334,0.3827985874662032,0.29373693276273494,,-0.010585134306381486,1.0,-0.04491087734905142,0.16078090297596204,0.1782726000821243,-0.007006552328544741,0.22559075784709684,0.2912206980101702,0.282044994203013,0.13751302228248602,0.29602179569523107,0.14921484063900622,-0.07604631971280618,0.2804840751073773,0.16268736522385743,0.11687678192536276,0.02532667185198263,-0.06513715498230188,0.4068924235219586,0.43471763164684163,0.368667142735937,0.14200203664065048,0.4811312233729256,0.4131951826581316,-0.015586354481189705,0.04943714266081727,0.3832464622723427,0.29443800253425195,0.3379723841615618,0.34154418799868036,-0.4045100327342325,0.02907031542551499,0.30469073354415505
dst_hj_airport,0.30030580521345135,0.3036827874742771,0.42694953349908726,0.4068068059582058,0.22559075784709684,1.0,0.7382100282055739,0.7584616792227081,0.3245927417701818,0.36730447784609543,0.3664174323506679,0.4218167880783965,-0.15255087170556958,,0.22809664406832983,0.2991728581901508,0.23655800947033118,0.29380205334921544,0.29917285660509096,0.23655801499390872,0.29380204955395695,,-0.01571797099676054,0.22559075784709684,0.07249183535927226,0.11316714276970082,0.9280032108113777,0.7017402896101892,1.0,0.7584616792227081,0.8744957240302943,-0.08303190244041009,0.6733399157829872,0.11102556247994265,-0.7043163415053982,0.5927289663765567,0.04121604323633516,0.22809480026704929,0.012581660669189792,0.3429946925139554,0.3017352198019067,0.3036827874742771,0.39409652343118423,0.2979750534645468,0.40680680595820484,0.2143157123835708,0.22177457767599726,-0.01606697277712421,0.2365396014310717,0.295410271814338,0.30030580521345346,0.31362319065364097,0.06793317412619863,0.36490844231477115,0.7382100282055739
dst_beltline,-0.0044083190179538745,0.43117642981823784,0.3864758583578787,0.3615874564305395,0.30469073354415505,0.7382100282055739,1.0,0.992662001432344,-0.006983744086311698,-0.00029176777675114784,0.25178994951092154,0.32090715392628644,-0.3481058717244078,,0.3747078576678183,-0.004512844880134077,-0.06331212489130449,0.014920497266041015,-0.0045128473844692875,-0.06331212017749972,0.01492049268268078,,-0.02446563245663633,0.30469073354415505,0.03344295478794371,0.08652184481615399,0.4865218164603286,0.22220333033505,0.7382100282055739,0.992662001432344,0.9619776496047451,0.5770551241554609,0.9932489351440986,0.7069634317878578,-0.10894399880873674,0.973798633696317,0.672035901943851,0.37470597527810784,-0.02471903150782264,0.4387540338671197,0.3558627368074151,0.43117642981823784,0.3410957884589232,0.32471615279613947,0.3615874564305194,0.14399591486339658,0.17510836812537237,-0.17526007599184293,-0.06414965885842962,0.015377145311139397,-0.004408319017953836,0.005430389668725182,-0.1580037476905514,0.3950798135839473,1.0
dst_gt,0.018760752145097155,0.4241740833758948,0.39000146374079714,0.3648539577147053,0.2912206980101702,0.7584616792227081,0.992662001432344,1.0,0.0178123495292943,0.02725743052531876,0.25774111123670607,0.32716451712047745,-0.3395851721053109,,0.37336148240848155,0.018545656655788376,-0.04144472617440446,0.03638762923788625,0.018545653995563037,-0.0414447216362174,0.03638762451238723,,-0.024372273814921155,0.2912206980101702,0.031358657338095355,0.08137177923279597,0.5116368509247072,0.29068220319446536,0.7584616792227081,1.0,0.9760767207249103,0.5501341849427149,0.9899243766541126,0.6972082661232435,-0.13628814014718,0.9702458708028813,0.6502622634063552,0.37335872037296897,-0.021988780473578183,0.4334160708874801,0.35229427837085525,0.4241740833758948,0.34517641394529675,0.324271794721517,0.36485395771470996,0.14506145584225733,0.1903638268885202,-0.17317474505662464,-0.04220182632828218,0.03696692930653515,0.018760752145097113,0.02916587108272007,-0.14498506849681925,0.3989288521060794,0.992662001432344
NN w landmarks,0.9162861141727766,0.44473623359146025,0.6993326300204816,0.782187626365194,0.37501662383081097,0.3245927417701818,-0.006983744086311698,0.0178123495292943,1.0,0.9185130341963057,0.8360416789490578,0.8186007122163987,-0.07669282624142464,,-0.0069244914902869045,0.914546534912138,0.7785677787530457,0.8801735563607621,0.914546535366459,0.7785677831199155,0.8801735553353471,,-0.0015052674419365217,0.37501662383081097,-0.03772066704584627,0.03928381928212914,0.3738781855038208,0.3266640156273157,0.3245927417701818,0.0178123495292943,0.13475994536720545,-0.3989577052384457,-0.05612287075857739,-0.35252393919651603,-0.42278416148519826,-0.11637200148659087,-0.36985501118841196,-0.006926526892827857,0.1212058129269154,0.12329589389233128,0.5218784782139355,0.44473623359146025,0.6873608654289549,0.3409825743465507,0.7821876263651593,0.33560592768639463,0.18281306550211074,0.1402361898811028,0.7800291089261531,0.8824061601347168,0.9162861141728328,0.9165677487571934,-0.09252463846065903,0.3132992923105816,-0.006983744086311698
Linear w/ landmarks,0.8451962722207126,0.47919687024992047,0.7643281228813104,0.8469851384826989,0.4053497843747127,0.36730447784609543,-0.00029176777675114784,0.02725743052531876,0.9185130341963057,1.0,0.8876414731078692,0.889775705182847,-0.061403966825053585,,-0.014975571975097865,0.8434804410691843,0.6976251355559653,0.8184003880200363,0.8434804405217855,0.6976251412095199,0.8184003853659624,,-0.0005469800956606442,0.4053497843747127,-0.045200342534746765,0.03928888322053214,0.45032486531617544,0.40735506705510904,0.36730447784609543,0.02725743052531876,0.14568071056485585,-0.4438033931614505,-0.04935890819674305,-0.3754258161513585,-0.5048663042177012,-0.11086828130792939,-0.40280881447952793,-0.01497726710767542,0.11105686371255936,0.16947142009042487,0.5592187933106718,0.47919687024992047,0.7546601003558134,0.3606627532396159,0.8469851384826541,0.3861189631115794,0.2015749127675974,0.15887163594878645,0.6987083661133245,0.8207034100543351,0.8451962722206832,0.8509471668956096,-0.08566838368081185,0.36797004995606164,-0.00029176777675114784
